Feature,Importance
income,0.17862732925407088
loan_amount,0.17491182118788096
age,0.1612695293747744
marital_status_single,0.04329171154129705
marital_status_married,0.0416464594905437
employment_status_self-employed,0.04115469916854851
employment_status_unemployed,0.03987928725059857
loan_purpose_education,0.0334701576518986
loan_purpose_medical,0.03269509132680429
loan_purpose_personal,0.03254099637855753
loan_category_Medium,0.02268886606096642
income_group_Moderate,0.022276703490424498
loan_category_Low,0.021277028074143164
income_group_Middle,0.01974273427229035
age_group_25-34,0.01951383037749348
age_group_45-54,0.019428195910518087
loan_category_Very High,0.018600996195011207
age_group_35-44,0.018437183447696875
age_group_55-64,0.01687815601038082
loan_category_Very Low,0.015455090514536474
income_group_Upper-Middle,0.015255385914314357
age_group_65+,0.010958747107249974
