loan_id,age,income,loan_amount,loan_purpose,employment_status,marital_status,has_default
1,56,29930,25091,business,self-employed,divorced,0
2,69,23285,1511,personal,self-employed,divorced,0
3,46,143637,48314,business,unemployed,divorced,0
4,32,55863,38850,business,unemployed,divorced,0
5,60,36704,17636,medical,unemployed,divorced,0
6,25,38705,21517,education,employed,divorced,0
7,38,20555,32786,business,self-employed,divorced,0
8,56,41323,9820,education,employed,married,0
9,36,90968,37244,business,self-employed,married,0
10,40,86922,10178,medical,unemployed,divorced,0
11,28,73915,2725,medical,employed,single,0
12,28,129543,19477,personal,employed,divorced,0
13,41,30619,47533,business,self-employed,divorced,1
14,53,92390,35469,medical,employed,divorced,0
15,57,148918,9496,education,employed,single,0
16,41,128500,13270,business,unemployed,married,0
17,20,134337,11472,business,self-employed,single,0
18,39,79274,21724,personal,employed,single,1
19,19,93173,31416,education,unemployed,single,1
20,41,41225,36575,personal,employed,single,0
21,61,131266,16654,business,unemployed,divorced,0
22,47,46739,12078,personal,employed,married,0
23,55,67708,29030,business,unemployed,single,0
24,19,148041,8572,business,unemployed,married,0
25,38,73019,18408,personal,self-employed,divorced,1
26,50,96154,20359,personal,unemployed,divorced,0
27,29,122097,9698,business,employed,married,0
28,39,27373,5856,personal,unemployed,divorced,0
29,61,55281,28527,personal,unemployed,married,1
30,42,40187,40492,business,employed,single,0
31,66,87863,10245,education,employed,divorced,0
32,44,117927,44634,personal,unemployed,divorced,1
33,59,127113,43864,personal,employed,married,1
34,45,104085,29946,medical,unemployed,divorced,0
35,33,137996,38355,education,unemployed,single,1
36,32,59220,38690,personal,unemployed,divorced,0
37,64,142755,38814,business,employed,divorced,0
38,68,27642,32645,medical,self-employed,divorced,0
39,61,99971,20278,medical,self-employed,married,0
40,69,75556,8203,medical,unemployed,single,1
41,20,53760,49171,personal,unemployed,single,1
42,54,58192,22658,business,employed,divorced,0
43,68,144257,43596,medical,self-employed,divorced,0
44,24,24381,16797,education,self-employed,married,1
45,38,116583,33806,medical,self-employed,single,0
46,26,39558,31958,medical,employed,divorced,0
47,56,50782,7265,education,employed,single,0
48,35,24782,7598,medical,employed,divorced,0
49,21,111417,36183,medical,unemployed,divorced,1
50,42,74712,18142,education,employed,married,1
51,31,125764,27998,personal,unemployed,single,1
52,67,114945,26890,education,unemployed,single,0
53,26,39462,29878,personal,unemployed,divorced,1
54,43,80030,15306,personal,unemployed,divorced,0
55,19,88519,48345,personal,employed,married,0
56,37,76411,12885,education,employed,divorced,0
57,45,75206,45145,education,self-employed,single,1
58,64,117469,44826,personal,self-employed,married,0
59,24,66950,8443,education,unemployed,single,0
60,61,22523,32839,personal,self-employed,married,1
61,25,80926,18084,education,self-employed,single,0
62,64,29677,24911,business,self-employed,divorced,1
63,52,95828,5383,education,unemployed,single,0
64,31,35089,27777,education,self-employed,single,0
65,34,24581,35361,education,employed,married,0
66,53,31907,15758,personal,unemployed,single,0
67,67,25609,30521,personal,employed,divorced,1
68,57,71153,21529,business,unemployed,married,0
69,21,70539,24091,business,employed,married,0
70,19,64143,40794,medical,self-employed,single,0
71,23,42936,32381,business,unemployed,married,0
72,59,70182,36380,personal,employed,divorced,0
73,21,128261,31932,business,unemployed,single,1
74,46,131259,45097,business,employed,divorced,0
75,35,119524,2908,education,self-employed,single,0
76,43,115042,40722,business,unemployed,single,0
77,61,33163,48953,medical,unemployed,married,0
78,51,146686,31358,education,employed,married,0
79,27,79758,31412,personal,employed,married,0
80,53,66057,19174,medical,self-employed,single,0
81,31,32537,16496,personal,employed,married,0
82,48,42419,3928,medical,employed,divorced,0
83,65,62578,31632,education,employed,married,0
84,32,94991,33309,medical,self-employed,divorced,0
85,25,141211,10280,medical,self-employed,married,0
86,31,142762,41449,business,unemployed,single,0
87,40,94599,22635,personal,self-employed,married,0
88,57,20834,27957,education,employed,divorced,0
89,38,52214,37895,medical,unemployed,divorced,0
90,33,112934,5963,personal,self-employed,married,0
91,62,143798,28521,personal,self-employed,divorced,1
92,35,120028,33615,business,employed,single,0
93,64,141286,45529,personal,employed,married,0
94,41,22413,47322,education,self-employed,divorced,0
95,43,29505,22695,business,unemployed,married,0
96,42,140681,10357,medical,employed,married,0
97,62,122802,26176,education,self-employed,married,0
98,58,22105,19409,education,self-employed,married,0
99,46,88104,1987,education,employed,married,0
100,32,148303,2965,business,unemployed,single,0
101,62,127634,41084,personal,unemployed,married,0
102,18,134897,32318,education,unemployed,single,1
103,42,78408,27015,personal,employed,married,1
104,24,57679,30191,personal,employed,divorced,0
105,26,136908,47814,education,employed,married,0
106,41,134921,1868,personal,unemployed,married,0
107,18,119096,38146,business,unemployed,divorced,0
108,61,99731,49231,business,employed,single,0
109,25,132205,30032,medical,employed,single,0
110,41,85131,29305,personal,employed,single,0
111,28,84280,23640,personal,unemployed,single,0
112,68,35762,19318,medical,self-employed,divorced,0
113,34,137798,14246,business,self-employed,single,1
114,25,136854,34844,medical,unemployed,single,1
115,52,126830,33602,medical,employed,single,0
116,52,78703,22584,medical,employed,single,0
117,50,101434,16169,personal,employed,single,0
118,22,83079,26968,personal,employed,married,0
119,59,41577,7385,personal,unemployed,married,0
120,56,21214,9222,personal,self-employed,single,0
121,58,106339,26444,education,self-employed,divorced,0
122,45,68114,39248,medical,unemployed,divorced,1
123,24,109234,41545,medical,employed,married,0
124,26,83230,6362,personal,self-employed,divorced,0
125,25,143163,34718,business,unemployed,married,0
126,29,52980,9250,education,employed,single,0
127,51,87194,3818,education,self-employed,single,0
128,50,97806,37368,business,unemployed,divorced,0
129,65,132333,45109,personal,self-employed,divorced,0
130,40,57792,16053,education,self-employed,divorced,1
131,41,65807,28426,education,unemployed,single,0
132,54,144297,48101,medical,unemployed,single,0
133,52,145266,40023,medical,self-employed,divorced,0
134,61,42301,25892,personal,self-employed,divorced,0
135,57,25141,44675,personal,unemployed,divorced,0
136,39,136482,30361,medical,employed,divorced,0
137,44,124292,17007,medical,employed,married,0
